# 3.3mg/mL fAT from als 2012.02.27
# q  I(q)  err
 0.130431  11.941610  0.084442
 0.131039  11.810819  0.093603
 0.131647  11.869583  0.091961
 0.132255  11.566132  0.092538
 0.132863  11.297478  0.082214
 0.133471  11.228503  0.085747
 0.134079  11.055310  0.083596
 0.134687  10.929011  0.077813
 0.135295  10.851531  0.078040
 0.135903  10.625302  0.080412
 0.136511  10.577391  0.082874
 0.137119  10.353629  0.083801
 0.137728  10.232627  0.084894
 0.138336  10.007381  0.082722
 0.138944  9.854328  0.090372
 0.139552  9.872574  0.082569
 0.140160  9.774303  0.078381
 0.140768  9.799219  0.080003
 0.141376  9.589693  0.086304
 0.141984  9.516666  0.086021
 0.142592  9.464548  0.080964
 0.143200  9.301268  0.082187
 0.143808  9.060266  0.079987
 0.144416  9.006813  0.082051
 0.145024  9.163673  0.081475
 0.145632  9.003212  0.082092
 0.146240  8.946238  0.081899
 0.146848  8.741984  0.076343
 0.147456  8.833250  0.079217
 0.148064  8.654174  0.072021
 0.148672  8.530594  0.079302
 0.149280  8.324977  0.080894
 0.149888  8.313617  0.082360
 0.150496  8.122424  0.069080
 0.151104  8.105274  0.076083
 0.151712  8.127246  0.075258
 0.152320  8.170525  0.073188
 0.152928  7.929663  0.078740
 0.153537  8.066629  0.078217
 0.154145  7.877265  0.074890
 0.154753  7.866244  0.078179
 0.155361  7.619593  0.078611
 0.155969  7.718163  0.068882
 0.156577  7.607443  0.071542
 0.157185  7.526045  0.074235
 0.157793  7.515164  0.071710
 0.158401  7.504804  0.067447
 0.159009  7.376335  0.071226
 0.159617  7.305477  0.071389
 0.160225  7.152867  0.076600
 0.160833  7.125693  0.070110
 0.161441  7.121726  0.071119
 0.162049  7.046977  0.063190
 0.162657  7.020550  0.069226
 0.163265  6.985756  0.065684
 0.163873  7.004360  0.067435
 0.164481  6.852197  0.071293
 0.165089  6.708367  0.066980
 0.165697  6.754014  0.071674
 0.166305  6.658405  0.070641
 0.166913  6.629251  0.069470
 0.167521  6.703377  0.066470
 0.168129  6.365119  0.072499
 0.168737  6.555113  0.071200
 0.169345  6.318647  0.071680
 0.169953  6.401814  0.070440
 0.170561  6.374810  0.068374
 0.171169  6.349662  0.064352
 0.171777  6.353576  0.073579
 0.172385  6.187194  0.067701
 0.172993  6.206051  0.070230
 0.173601  6.124159  0.066543
 0.174209  6.109919  0.063316
 0.174817  6.031293  0.068719
 0.175425  6.042835  0.067377
 0.176033  6.017511  0.071320
 0.176641  5.912348  0.066563
 0.177250  5.866137  0.070638
 0.177858  5.811315  0.065340
 0.178466  5.778156  0.074628
 0.179074  5.742707  0.070537
 0.179682  5.840993  0.068694
 0.180290  5.823585  0.064675
 0.180898  5.852886  0.068080
 0.181506  5.749346  0.067685
 0.182114  5.617457  0.070122
 0.182722  5.605148  0.066514
 0.183330  5.510071  0.067449
 0.183938  5.593237  0.071411
 0.184546  5.516141  0.075435
 0.185154  5.458791  0.065447
 0.185762  5.291131  0.085343
 0.186370  5.348154  0.068128
 0.186978  5.246734  0.064788
 0.187586  5.222046  0.067076
 0.188194  5.305306  0.066174
 0.188802  5.209610  0.070264
 0.189410  5.245596  0.064999
 0.190018  5.359402  0.068913
 0.190626  5.238845  0.063985
 0.191234  5.078612  0.065720
 0.191842  5.039353  0.067800
 0.192450  4.980538  0.067195
 0.193058  4.998076  0.069387
 0.193666  4.952971  0.069566
 0.194274  4.905496  0.064840
 0.194882  4.728135  0.067591
 0.195490  4.827646  0.066980
 0.196098  4.781723  0.069523
 0.196706  4.793819  0.064294
 0.197314  4.683762  0.062941
 0.197922  4.810987  0.059871
 0.198530  4.740517  0.065328
 0.199138  4.619180  0.061425
 0.199746  4.561131  0.064094
 0.200354  4.616749  0.062659
 0.200962  4.571023  0.066074
 0.201570  4.517826  0.060465
 0.202178  4.663489  0.061287
 0.202786  4.540346  0.063477
 0.203394  4.327016  0.061657
 0.204002  4.437086  0.060068
 0.204610  4.245382  0.061838
 0.205218  4.339193  0.061435
 0.205826  4.259372  0.059159
 0.206434  4.195027  0.060661
 0.207042  4.158098  0.064567
 0.207650  4.134730  0.065143
 0.208258  4.075520  0.063558
 0.208866  4.138517  0.058676
 0.209474  4.065864  0.061801
 0.210082  4.189813  0.058984
 0.210690  4.057429  0.063786
 0.211298  4.037738  0.065585
 0.211906  4.121177  0.061951
 0.212514  3.982525  0.060743
 0.213122  4.041023  0.063273
 0.213730  3.942995  0.059780
 0.214338  4.045492  0.057968
 0.214946  3.986790  0.061034
 0.215554  3.804474  0.058566
 0.216162  3.872524  0.060260
